term	reading	rank	meaning
ならば	ナラバ	589	if; in case; if it is the case that; if it is true that
とにかく	トニカク	590	anyway; anyhow; at any rate; in any case; at least; just
ことはない	コトハナイ	591	
痛い	イタイ	592	painful; sore
敵	テキ	593	opponent; rival; adversary
一	イチ	594	one; 1
実は	ジツハ	595	as a matter of fact; by the way; to tell you the truth; to be honest; frankly; actually
後ろ	ウシロ	596	back; behind; rear
そこまで	ソコマデ	597	
物	モノ	598	thing; object; article; stuff; substance
さらに	サラニ	599	furthermore; again; after all; more and more; moreover; even more
髪	カミ	600	hair (on the head)
一瞬	イッシュン	602	instant; moment; for an instant
落ち着く	オチツク	603	to calm down; to compose oneself; to regain presence of mind; to relax
どうした	ドウシタ	604	
隣	トナリ	605	next (to); adjoining; adjacent
不思議	フシギ	606	wonderful; marvelous; strange; incredible; amazing; curious; miraculous; mysterious
戦う	タタカウ	607	to make war (on); to wage war (against); to go to war (with); to fight (with); to do battle (against)
さあ	サア	608	come (on); come now; come along; here
こいつ	コイツ	609	he; she; this fellow; this guy; this person
現れる	アラワレル	610	to appear; to come in sight; to become visible; to come out; to embody; to materialize; to materialise
そろそろ	ソロソロ	611	soon; before long; any time now; momentarily
私たち	ワタシタチ	612	we; us
記憶	キオク	613	memory; recollection; remembrance
彼ら	カレラ	614	they; them
すべて	スベテ	615	everything; all; the whole
学校	ガッコウ	616	school
さえ	サエ	617	even
情報	ジョウホウ	618	information; news; report; intelligence
意識	イシキ	619	consciousness
というのは	トイウノハ	620	
肩	カタ	621	shoulder
色	イロ	622	colour; color; hue; tint; tinge; shade
触れる	フレル	623	to touch; to feel
勝つ	カツ	624	to win; to gain victory
結局	ケッキョク	625	after all; in the end; ultimately; eventually
三	サン	626	three; 3
全然	ゼンゼン	627	(not) at all; (not) in the slightest
上がる	アガル	628	to rise; to go up; to come up; to ascend; to be raised
げ	ゲ	629	
動き	ウゴキ	630	movement; move; motion
白い	シロイ	631	white
指	ユビ	632	finger; toe; digit
可能性	カノウセイ	633	possibility; chance; likelihood; probability
赤い	アカイ	634	red; crimson; scarlet; vermilion
失礼	シツレイ	635	discourtesy; impoliteness
幸せ	シアワセ	636	happiness; good fortune; luck; blessing
負ける	マケル	637	to lose; to be defeated; to be beaten
背中	セナカ	638	back (of the body)
反応	ハンノウ	639	reaction; response
壁	カベ	640	wall; partition
どうやら	ドウヤラ	641	possibly; apparently; (seem) likely; seemingly
いきなり	イキナリ	642	abruptly; suddenly; all of a sudden; without warning
空	ソラ	643	sky; the air; the heavens
約束	ヤクソク	644	promise; agreement; arrangement; one's word; contract; pact
血	チ	645	blood
服	フク	646	clothes (esp. Western clothes); clothing; dress; costume; suit; outfit
恥ずかしい	ハズカシイ	647	embarrassing; embarrassed; ashamed; humiliated; shy
過ぎる	スギル	648	to pass through; to pass by; to go beyond
事実	ジジツ	649	fact; truth; reality
静か	シズカ	650	quiet; silent
すむ	スム	651	to finish; to end; to be completed; to be resolved
行動	コウドウ	652	action; conduct; behaviour; behavior; mobilization; mobilisation
突然	トツゼン	653	abrupt; sudden; unexpected
友達	トモダチ	654	friend; companion
喜ぶ	ヨロコブ	655	to be delighted; to be glad; to be pleased; to rejoice
止まる	トマル	656	to stop (moving); to come to a stop
命	イノチ	657	life; life force
自身	ジシン	658	(one's) self; oneself; yourself; himself; herself
想像	ソウゾウ	659	imagination; supposition; guess
面白い	オモシロイ	660	interesting; fascinating; intriguing; enthralling
父	チチ	661	father
身	ミ	662	one's body; one's person
渡す	ワタス	663	to ferry across (e.g. a river); to carry across; to traverse
名	ナ	664	name; given name
ようやく	ヨウヤク	665	finally; at last
全員	ゼンイン	666	all members; all hands; everyone; everybody; whole crew
頃	コロ	667	(approximate) time; around; about; toward
そもそも	ソモソモ	668	in the first place; to begin with; from the start; originally; ab initio
空気	クウキ	669	air; atmosphere
再び	フタタビ	670	again; once more; a second time
着る	キル	671	to wear (from the shoulders down); to put on
母	ハハ	672	mother
首	クビ	673	neck
美しい	ウツクシイ	674	beautiful; pretty; lovely; sweet; pure (heart, friendship, etc.)
一体	イッタイ	675	(what) the heck; (why) in the world; (who) on earth; (where) the hell; (how) the hell
店	ミセ	676	store; shop; establishment; restaurant
程度	テイド	677	degree; amount; grade; standard; of the order of (following a number); about; approximately
届く	トドク	678	to reach; to touch; to get to; to carry (of sound)
さて	サテ	679	well; now; then
難しい	ムズカシイ	680	difficult; hard; troublesome; complicated; serious (disease, problem, etc.)
向こう	ムコウ	681	opposite side; other side
神	カミ	682	god; deity; divinity; spirit; kami
気分	キブン	683	feeling; mood
耳	ミミ	684	ear
ごめんなさい	ゴメンナサイ	685	
通り	トオリ	686	street; road; avenue; thoroughfare
ひどい	ヒドイ	687	cruel; heartless; hard; harsh; severe
むしろ	ムシロ	688	rather; better; instead; if anything
飛ぶ	トブ	689	to fly; to soar
眠る	ネムル	690	to sleep
仲間	ナカマ	691	companion; fellow; friend; mate; comrade; partner; colleague; coworker; associate
でない	デナイ	692	
さすがに	サスガニ	693	
山	ヤマ	694	mountain; hill
感情	カンジョウ	695	emotion; feeling; feelings; sentiment
ぐらい	グライ	696	approximately; about; around; or so
結構	ケッコウ	697	splendid; nice; wonderful; delightful; lovely; excellent; fine
すら	スラ	698	even
危険	キケン	699	danger; peril; hazard
以前	イゼン	700	before; prior to; ago
もう一度	モウイチド	703	once more; again
ありがとうございます	アリガトウゴザイマス	704	thank you
どうぞ	ドウゾ	705	please; kindly; pray; I beg (of you)
済む	スム	706	to finish; to end; to be completed; to be resolved
とりあえず	トリアエズ	707	first of all; at once; right away
任せる	マカセル	708	to leave (a matter, decision, etc. to someone); to entrust (to someone); to entrust (someone) with
遅い	オソイ	709	slow
気にする	キニスル	710	
いくら	イクラ	711	how much
本気	ホンキ	712	seriousness; earnestness; truth; sanctity
あら	アラ	713	oh!; ah!; oh no
正直	ショウジキ	714	honest; frank; candid; straightforward
動かす	ウゴカス	715	to move; to shift; to stir; to budge; to change position
事件	ジケン	716	event; affair; incident; case; plot; trouble; scandal
きる	キル	717	to kill (a human) using a blade (sword, machete, knife, etc.); to slice (off); to lop (off); to cut (off)
そういえば	ソウイエバ	718	now that you mention it; come to think of it; that reminds me; on that subject; speaking of which
おりる	オリル	719	to descend (e.g. a mountain); to go down; to come down
起こす	オコス	720	to raise; to raise up; to set up; to pick up; to stand (something) up
周囲	シュウイ	721	surroundings; environs
海	ウミ	722	sea; ocean; waters
すでに	スデニ	723	already
叫ぶ	サケブ	724	to shout; to cry (out); to scream; to shriek; to yell; to exclaim
引く	ヒク	725	to pull; to tug; to lead (e.g. a horse)
返事	ヘンジ	726	reply; answer; response
逆	ギャク	727	reverse; opposite
捨てる	ステル	728	to throw away; to cast away; to dump; to discard
甘い	アマイ	729	sweet-tasting; sweet; sugary; sugared
窓	マド	730	window
遊ぶ	アソブ	731	to play (games, sports); to enjoy oneself; to have a good time
結婚	ケッコン	732	marriage
おお	オオ	733	large; big; great; major; important; serious; heavy; loud
会話	カイワ	734	conversation; talk; chat
戻ってくる	モドッテクル	735	
どうしたの	ドウシタノ	736	what's the matter?; what's wrong?
邪魔	ジャマ	737	hindrance; obstacle; nuisance; disturbance; interruption; interference
腰	コシ	738	lower back; waist; hips; lumbar region
その時	ソノトキ	739	
うまい	ウマイ	740	skillful; skilful; skilled; good; expert; clever (expression, trick, etc.); apt; appropriate
握る	ニギル	741	to clasp; to grasp; to grip; to clutch
確か	タシカ	742	sure; certain; positive; definite
いっぱい	イッパイ	743	one defeat
部分	ブブン	744	portion; section; part
無事	ブジ	745	safety; security; peace; quiet
せっかく	セッカク	746	with trouble; at great pains
風	カゼ	747	wind; breeze; draught; draft
起こる	オコル	748	to occur; to happen
であろう	デアロウ	749	
熱い	アツイ	750	hot (to the touch)
意外	イガイ	751	unexpected; surprising; unanticipated; strange; unforeseen
これ以上	コレイジョウ	752	
間違いない	マチガイナイ	753	certain; sure; no doubt
流れる	ナガレル	754	to stream; to flow (liquid, time, etc.); to run (ink)
花	ハナ	755	flower; blossom; bloom; petal
涙	ナミダ	756	tear; tears; lachrymal secretion
やってくる	ヤッテクル	757	to come along; to come around; to turn up
倒れる	タオレル	758	to fall (over, down); to collapse; to take a fall; to topple
人生	ジンセイ	759	(one's) life
一人で	ヒトリデ	760	alone; by oneself; on one's own
もう少し	モウスコシ	761	
襲う	オソウ	762	to attack; to assail; to make an assault; to strike; to hunt down
所	トコロ	763	place; spot; scene; site
料理	リョウリ	764	cooking; cookery; cuisine; food; dish
決して	ケッシテ	765	(not) ever; (not) by any means; (not) in the least; (not) in any way; (not) at all
愛する	アイスル	766	to love
黒い	クロイ	767	black
冷たい	ツメタイ	768	cold (to the touch); chilly; icy; freezing
合わせる	アワセル	769	to match (rhythm, speed, etc.)
楽しむ	タノシム	770	to enjoy; to take pleasure in; to have a good time; to have fun; to amuse oneself
自然	シゼン	771	nature
納得	ナットク	772	consent; agreement; acceptance
周り	マワリ	773	circumference; girth
どうも	ドウモ	774	thank you; thanks
珍しい	メズラシイ	775	rare; uncommon; unusual; curious
いいから	イイカラ	776	
どうしても	ドウシテモ	777	by all means; at any cost; no matter what; at any rate; surely
疲れる	ツカレル	778	to get tired; to tire; to get fatigued; to become exhausted; to grow weary
